club_id,club_code,club_name,domestic_competition_id,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,last_season
105,sv-darmstadt-98,SV Darmstadt 98,L1,30,26.4,11,36.7,1,Merck-Stadion am Böllenfalltor,17500,€-1.60m,2023
11127,ural-ekaterinburg,Ural Yekaterinburg,RU1,25,28.2,13,52,4,Yekaterinburg Arena,23000,€-770k,2023
114,besiktas-istanbul,Besiktas JK,TR1,32,27.3,16,50,14,Tüpraş Stadyumu,42590,€-14.50m,2023
12,as-rom,AS Roma,IT1,26,27.3,17,65.4,17,Olimpico di Roma,73261,+€65.20m,2023
148,tottenham-hotspur,Tottenham Hotspur,GB1,29,26.1,21,72.4,22,Tottenham Hotspur Stadium,62062,€-130.40m,2023
157,kaa-gent,KAA Gent,BE1,25,25.6,13,52,8,Ghelamco Arena,19999,+€2.52m,2023
1894,hvidovre-if,Hvidovre IF,DK1,30,27,4,13.3,1,PRO VENTILATION Arena,12000,+€335k,2023
190,fc-kopenhagen,FC Copenhagen,DK1,27,25.6,14,51.9,9,Parken,38065,+€9.63m,2023
192,roda-jc-kerkrade,Roda JC Kerkrade,NL1,25,24,9,36,0,Parkstad Limburg Stadion,19979,+€1.30m,2017
19789,yeni-malatyaspor,Yeni Malatyaspor,TR1,10,22.9,1,10,0,Yeni Malatya Stadyumu,25745,+€778k,2021
2079,veria-nps,Veria NPS,GR1,29,24.3,4,13.8,0,Dimotiko Stadio Verias,6350,0,2016
21957,ao-platanias,AO Platanias,GR1,0,,0,,0,Dimotiko Gipedo Perivolia,3700,0,2017
2414,ac-horsens,AC Horsens,DK1,19,25.1,9,47.4,4,Nordstern Arena Horsens,10400,0,2022
2457,belenenses-sad,B SAD,PO1,25,24.2,13,52,4,Estádio Nacional do Jamor,37593,+€1.80m,2021
2578,st-johnstone-fc,St. Johnstone FC,SC1,28,26.8,16,57.1,4,McDiarmid Park,10696,0,2023
2727,oud-heverlee-leuven,Oud-Heverlee Leuven,BE1,27,24.8,16,59.3,3,King Power at Den Dreef Stadion,10020,0,2023
28643,waasland-beveren,SK Beveren,BE1,27,26.8,16,59.3,3,Freethielstadion,13290,€-350k,2020
2990,academica-coimbra,Académica Coimbra,PO1,26,25.2,6,23.1,0,Estádio Cidade de Coimbra,29744,+€150k,2015
3057,standard-luttich,Standard Liège,BE1,26,24.5,16,61.5,10,Maurice Dufrasne Stadion,27670,+€1.30m,2023
3690,ska-khabarovsk,SKA Khabarovsk,RU1,27,25.7,4,14.8,0,Lenin Stadion,15200,€-93k,2017
4795,fc-ingolstadt-04,FC Ingolstadt 04,L1,28,24.3,8,28.6,1,Audi Sportpark,15800,+€1.55m,2016
511,dundee-fc,Dundee FC,SC1,24,25.9,13,54.2,3,Kilmac Stadium at Dens Park,11850,0,2023
5358,sd-huesca,SD Huesca,ES1,24,27.5,8,33.3,2,El Alcoraz,9128,+€1.43m,2020
603,cardiff-city,Cardiff City,GB1,28,25.5,24,85.7,8,Cardiff City Stadium,33280,€-655k,2018
60551,sk-dnipro-1,SK Dnipro-1,UKR1,26,27.2,4,15.4,4,Dnipro-Arena,31003,+€5.62m,2023
6996,goverla-uzhgorod,Goverla Uzhgorod (- 2016),UKR1,0,,0,,0,Avangard,10640,0,2015
8024,fc-arouca,FC Arouca,PO1,28,25.9,21,75,1,Estádio Municipal de Arouca,5600,+€5.24m,2023
868,mke-ankaragucu,MKE Ankaragücü,TR1,28,27.2,17,60.7,6,Eryaman Stadyumu,20560,€-3.35m,2023
903,hibernian-fc,Hibernian FC,SC1,24,27.4,19,79.2,5,Easter Road Stadium,20250,+€510k,2023
969,montpellier-hsc,Montpellier HSC,FR1,23,25.7,12,52.2,6,Stade de la Mosson,32939,+€31.80m,2023
989,afc-bournemouth,AFC Bournemouth,GB1,29,26.4,20,69,14,Vitality Stadium,11329,€-126.19m,2023
993,fc-cordoba,Córdoba CF,ES1,24,27.9,4,16.7,0,Nuevo Arcángel,21822,0,2014
1025,fc-bologna,Bologna FC 1909,IT1,26,25.2,18,69.2,13,Stadio Renato Dall’Ara,36462,€-18.50m,2023
1082,losc-lille,LOSC Lille,FR1,24,26,17,70.8,6,Decathlon Arena-Stade Pierre-Mauroy,50186,+€6.10m,2023
1160,nimes-olympique,Nîmes Olympique,FR1,26,25.4,12,46.2,3,Stade des Antonins,8033,+€2.50m,2020
11688,giresunspor,Giresunspor,TR1,17,22.5,1,5.9,1,Çotanak Spor Kompleksi,21500,0,2022
124,glasgow-rangers,Rangers FC,SC1,29,27.6,21,72.4,9,Ibrox Stadium,50987,€-2.85m,2023
1465,gd-estoril-praia,GD Estoril Praia,PO1,29,24.8,17,58.6,2,Estádio António Coimbra da Mota,8000,+€8.00m,2023
2477,karpaty-lviv,Karpaty Lviv (-2021),UKR1,0,,0,,0,Stadion Ukraina,28051,0,2019
2553,kilmarnock-fc,Kilmarnock FC,SC1,23,25.8,11,47.8,2,"BBSP Stadium, Rugby Park",18128,0,2023
2672,apo-levadiakos,APO Levadiakos,GR1,31,27.5,17,58.6,0,Stadio Livadias,5915,0,2022
2740,vorskla-poltava,Vorskla Poltava,UKR1,25,24.7,8,32,1,Vorskla im. Oleksiy Butovskyi,23842,+€900k,2023
3008,hull-city,Hull City,GB1,28,25,17,60.7,6,MKM Stadium,25586,+€7.50m,2016
31,fc-liverpool,Liverpool FC,GB1,26,26.1,21,80.8,17,Anfield,54074,€-111.30m,2023
336,sporting-lissabon,Sporting CP,PO1,27,25,13,48.1,8,Estádio José Alvalade XXI,50095,+€69.50m,2023
3911,stade-brest-29,Stade Brestois 29,FR1,25,26,7,28,4,Stade Francis-Le Blé,15220,+€5.10m,2023
4,1-fc-nurnberg,1.FC Nuremberg,L1,33,25.2,7,21.2,2,Max-Morlock-Stadion,50000,+€2.63m,2018
410,udinese-calcio,Udinese Calcio,IT1,36,25,31,86.1,8,Bluenergy Stadium,25144,+€5.56m,2023
41231,fk-sochi,FC Sochi,RU1,27,26.9,11,40.7,2,Fisht Olympic Stadium,45994,+€3.05m,2023
4128,amkar-perm,Amkar Perm,RU1,26,26,0,,0,Zvezda,17000,0,2017
449,trabzonspor,Trabzonspor,TR1,32,25.8,16,50,15,Papara Park,40782,€-13.11m,2023
4603,ae-larisa,AE Larisa,GR1,28,24.2,6,21.4,0,Stadio Alkazar,13108,0,2020
55686,metalist-1925-kharkiv,Metalist 1925 Kharkiv,UKR1,29,26.4,3,10.3,0,Livyi Bereg Arena,4700,€-175k,2023
566,beerschot-ac,Beerschot AC,BE1,0,,0,,0,Olympisch Stadion,12771,0,2012
595,sc-bastia,SC Bastia,FR1,25,27.6,8,32,6,Stade Armand-Cesari,16480,+€480k,2016
6890,istanbul-basaksehir-fk,Basaksehir FK,TR1,34,26,16,47.1,10,Başakşehir Fatih Terim,17156,0,2023
7185,panthrakikos-komotini,Panthrakikos Komotini,GR1,29,24.3,3,10.3,0,Stadio Komotinis OPAP,5601,0,2015
83678,metal-kharkiv,Metalist Kharkiv,UKR1,25,26.1,7,28,0,Avangard,10640,+€300k,2022
932,lokomotiv-moskau,Lokomotiv Moscow,RU1,27,24.5,3,11.1,9,RZD Arena,27084,+€3.48m,2023
1010,fc-watford,Watford FC,GB1,30,26.3,24,80,12,Vicarage Road,21577,+€42.02m,2021
