competition_id,competition_code,competition_name,sub_type,competition_type,country_id,country_name,domestic_league_code,confederation
CIT,italy-cup,italy-cup,domestic_cup,domestic_cup,75,Italy,IT1,europa
NLSC,johan-cruijff-schaal,johan-cruijff-schaal,domestic_super_cup,other,122,Netherlands,NL1,europa
GRP,kypello-elladas,kypello-elladas,domestic_cup,domestic_cup,56,Greece,GR1,europa
POSU,supertaca-candido-de-oliveira,supertaca-candido-de-oliveira,domestic_super_cup,other,136,Portugal,PO1,europa
RUSS,russian-super-cup,russian-super-cup,domestic_super_cup,other,141,Russia,RU1,europa
SUC,supercopa,supercopa,domestic_super_cup,other,157,Spain,ES1,europa
USC,uefa-super-cup,uefa-super-cup,uefa_super_cup,other,0,,,europa
DK1,superligaen,superligaen,first_tier,domestic_league,39,Denmark,DK1,europa
EL,europa-league,europa-league,europa_league,international_cup,0,,,europa
ES1,laliga,laliga,first_tier,domestic_league,157,Spain,ES1,europa
FR1,ligue0,ligue0,first_tier,domestic_league,50,France,FR1,europa
IT1,serie-a,serie-a,first_tier,domestic_league,75,Italy,IT1,europa
NL1,eredivisie,eredivisie,first_tier,domestic_league,122,Netherlands,NL1,europa
RUP,russian-cup,russian-cup,domestic_cup,domestic_cup,141,Russia,RU1,europa
PO1,liga-portugal-bwin,liga-portugal-bwin,first_tier,domestic_league,136,Portugal,PO1,europa
BESC,belgian-supercup,belgian-supercup,domestic_super_cup,other,19,Belgium,BE1,europa
GB1,premier-league,premier-league,first_tier,domestic_league,189,England,GB1,europa
ELQ,europa-league-qualifikation,europa-league-qualifikation,europa_league_qualifying,international_cup,0,,,europa
CGB,efl-cup,efl-cup,league_cup,other,189,England,GB1,europa
DKP,sydbank-pokalen,sydbank-pokalen,domestic_cup,domestic_cup,39,Denmark,DK1,europa
ECLQ,uefa-europa-conference-league-qualifikation,uefa-europa-conference-league-qualifikation,uefa_europa_conference_league_qualifiers,international_cup,0,,,europa
FAC,fa-cup,fa-cup,domestic_cup,domestic_cup,189,England,GB1,europa
NLP,toto-knvb-beker,toto-knvb-beker,domestic_cup,domestic_cup,122,Netherlands,NL1,europa
UKRS,ukrainian-super-cup,ukrainian-super-cup,domestic_super_cup,other,177,Ukraine,UKR1,europa
UKR1,premier-liga,premier-liga,first_tier,domestic_league,177,Ukraine,UKR1,europa
CDR,copa-del-rey,copa-del-rey,domestic_cup,domestic_cup,157,Spain,ES1,europa
CL,uefa-champions-league,uefa-champions-league,uefa_champions_league,international_cup,0,,,europa
GR1,super-league0,super-league0,first_tier,domestic_league,56,Greece,GR1,europa
TR1,super-lig,super-lig,first_tier,domestic_league,174,Turkey,TR1,europa
POCP,allianz-cup,allianz-cup,domestic_cup,domestic_cup,136,Portugal,PO1,europa
GBCS,community-shield,community-shield,domestic_super_cup,other,189,England,GB1,europa
KLUB,fifa-klub-wm,fifa-klub-wm,fifa_club_world_cup,other,0,,,europa
L1,bundesliga,bundesliga,first_tier,domestic_league,40,Germany,L1,europa
RU1,premier-liga,premier-liga,first_tier,domestic_league,141,Russia,RU1,europa
SC1,scottish-premiership,scottish-premiership,first_tier,domestic_league,190,Scotland,SC1,europa
SCI,supercoppa-italiana,supercoppa-italiana,domestic_super_cup,other,75,Italy,IT1,europa
BE1,jupiler-pro-league,jupiler-pro-league,first_tier,domestic_league,19,Belgium,BE1,europa
CLQ,uefa-champions-league-qualifikation,uefa-champions-league-qualifikation,uefa_champions_league_qualifying,international_cup,0,,,europa
DFL,dfl-supercup,dfl-supercup,domestic_super_cup,other,40,Germany,L1,europa
SFA,sfa-cup,sfa-cup,domestic_cup,domestic_cup,190,Scotland,SC1,europa
UKRP,ukrainian-cup,ukrainian-cup,domestic_cup,domestic_cup,177,Ukraine,UKR1,europa
DFB,dfb-pokal,dfb-pokal,domestic_cup,domestic_cup,40,Germany,L1,europa
FRCH,trophee-des-champions,trophee-des-champions,domestic_super_cup,other,50,France,FR1,europa
